ERROR: config not specified
IPv6 support
usage: ssserver [OPTION]...
A fast tunnel proxy that helps you bypass firewalls.

You can supply configurations via either config file or command line arguments.

Proxy options:
  -c CONFIG              path to config file
  -s SERVER_ADDR         server address, default: 0.0.0.0
  -p SERVER_PORT         server port, default: 8388
  -k PASSWORD            password
  -m METHOD              encryption method, default: aes-256-cfb
  -o OBFS                obfsplugin, default: http_simple
  -t TIMEOUT             timeout in seconds, default: 300
  --fast-open            use TCP_FASTOPEN, requires Linux 3.7+
  --workers WORKERS      number of workers, available on Unix/Linux
  --forbidden-ip IPLIST  comma seperated IP list forbidden to connect
  --manager-address ADDR optional server manager UDP address, see wiki

General options:
  -h, --help             show this help message and exit
  -d start/stop/restart  daemon mode
  --pid-file PID_FILE    pid file for daemon mode
  --log-file LOG_FILE    log file for daemon mode
  --user USER            username to run as
  -v, -vv                verbose mode
  -q, -qq                quiet mode, only show warnings/errors
2020-08-07 15:55:09 DEBUG    resolving b'ogs.google.com' with type 1 using server 183.60.82.98
2020-08-07 15:55:09 DEBUG    accept
2020-08-07 15:55:09 DEBUG    server port 18388 connections = 9
2020-08-07 15:55:09 INFO     TCP connecting apis.google.com:443 from ::ffff:111.40.35.2:41174
2020-08-07 15:55:09 DEBUG    resolving b'apis.google.com' with type 1 using server 183.60.83.19
2020-08-07 15:55:09 DEBUG    resolving b'apis.google.com' with type 1 using server 183.60.82.98
2020-08-07 15:55:11 DEBUG    accept
2020-08-07 15:55:11 DEBUG    server port 18388 connections = 10
2020-08-07 15:55:11 INFO     TCP connecting play.google.com:443 from ::ffff:111.40.35.2:42425
2020-08-07 15:55:11 DEBUG    resolving b'play.google.com' with type 1 using server 183.60.83.19
2020-08-07 15:55:11 DEBUG    resolving b'play.google.com' with type 1 using server 183.60.82.98
2020-08-07 15:55:36 DEBUG    got remote error
2020-08-07 15:55:36 ERROR    [Errno 104] Connection reset by peer
2020-08-07 15:55:36 DEBUG    destroy: nexus.officeapps.live.com:443
2020-08-07 15:55:36 DEBUG    destroying remote
2020-08-07 15:55:36 DEBUG    destroying local
2020-08-07 15:55:36 DEBUG    server port 18388 connections = 9
